==========================================================================================
Copyright to the levels in this file are as follows:

Phil Shapiro <pshapiro@aol.com>
2, 3, 6 - 10, 13, 16 - 19, 21 - 23, 28 - 32, 35, 39, 
42, 44, 46, 47, 53, 57, 65, 66, 70, 72, 74, 75. 

; "Dimitri & Yorick" Collection,
; By Jacques Duthen <duthen@club-internet.fr>
; [jack] 960812 This is a series of simple sokoban puzzles for (my) kids.
; The levels are best for kids ages 4-10 or real beginners!

4, 5, 11, 12, 14, 24 - 27, 33, 34, 36 - 38, 40, 41, 43, 45,
48 - 52, 54 - 56, 58 - 64, 67 - 69, 71, 73, 76, 77.
==========================================================================================

@JD "Jack Duthen"
@PS "Phil Shapiro"

> 1 PS Soko_Lev.dat 52




####################
#  ##########     @#
# $#    #     ######
#      ####   #  ###
#####         #  ###
#   $         #  ###
#  $####  #   #    #
# # #  #..#$###  # #
# # #$ #..#  $  $$ #
#      #..#  #   # #
#   #  #..#  #   # #
####################
> 2 PS Simple_s2.dat 12


           #####
          ##   ##
         ##     #
        ##      #
       ##       #
       #        #
####   #      #####
#  ######## ##    #
#             $$$@#
#.. ####### ##   ##
#.. #######  #$ $##
#..          #    #
##############  $ #
             ##  ##
              ####
> 3 PS Simple_s2.dat 27


         ####
     #####  #
    ##     $#
   ## $  ## ###
   #@$   # $  #
   #### ##   $#
    #.   #$ $ #
    #.   #   $#
    #..       ##
    #....#     #
    ######     #
         #   ###
         #  ###
         #  #
         ####
> 4 JD Btl.dat 32







        #####
        #   #
       ##  .#
       # $$ #
       # .@##
       #####
> 5 JD Btl.dat 4







      #######
      #    .#
      #  $$.#
      #  # @#
      #######
> 6 PS Simple_s1.dat 6




    #####
    #   #
    #   #
  ### $ ##
  #   $  #
### # ## #   ######
#   # ## #####   .#
# $  $          ..#
#####$### #@##  ..#
    #     #########
    #######
> 7 PS Simple_s1.dat 10





         ########
         #     @#
         # $#$ ##
         #   $ #
         ##  $ #
 #########   # ###
 #...   ## $ $   #
 ##..      $ $   #
 #...   ##########
 ########
> 8 PS Simple_s1.dat 34



           #######
           #     #
       #####     #
       #        .#
       #  ##  ...#
       ## ##  ...#
      ### ########
      # $$$ ##
  #####  $   #####
 ##   #  $   #   #
 #@ $          $ #
 ######      #####
      #      #
      ########
> 9 PS Simple_s2.dat 29




          ####
    ####### @#
    #        #
    #   $##  #
    ## # ..# #
     # $ ..  #
     # #   # ##
     #   # #$ #
     #   $    #
     #  #######
     ####
> 10 PS Simple_s1.dat 25


          ####
     #### #  #
   ### @###  #
  ##         #
 ##  $   ## ##
 #  #$##     #
 # #      #  ###
 #   $ #  #   #####
#### $  #     #   #
#### ##           #
#     ###  ########
#     # ####
#     #
# ....#
#######
> 11 JD Btl.dat 1






      #######
      #     #
      #  $$ #
      # $ $@#
      #..####
      #..#
      ####
> 12 JD Btl.dat 26







       #######
      ##    .#
      #   $$@#
      #   # .#
      ########
> 13 PS Simple_s1.dat 33


        #######
  #######     #
  #     # $@$ #
  #   #   #########
  # ###..   .##   #
  #   #..    ## # #
  # ###..         #
 ##   #### ### # ##
 #  #$   #     # #
 #  $ $$$  #  ## #
 #       ###   # #
 #####         # #
     ### ###   # #
       #     #   #
       ########  #
              ####
> 14 JD Btl.dat 29







        ####
       ##  ###
      ##     #
      #  @$$.#
      #   # .#
      ########
> 15 PS Soko_Lev.dat 1




    #####
    #   #
    #$  #
  ###  $##
  #  $ $ #
### # ## #   ######
#   # ## #####  ..#
# $  $          ..#
#####     # ##  ..#
    #    @#########
    #######
> 16 PS Simple_s2.dat 17



  ##### ####
  #...# #  ####
  #...###  $  #
  #.   ## $  $###
  ##    ##   $  #
  ###    ## $ $ #
  # ##    #  $  #
  #  ## # ### ####
  #   # #        #
  #    @         #
  #   #        ###
  #  ######  ###
  # ##    ####
  ###
> 17 PS Simple_s2.dat 31


 #####
 #   #
 # # #######
 #      $@######
 #   ##$ ###   #
 # #### $      #
 # ##### #  #  ####
##  #### ##       #
#   #     # ## ## #
#         # #   # #
######  ###       #
     #### # #...# #
          # ### # #
          #       #
          #########
> 18 PS Simple_s2.dat 15




        #######
    #####  #  ####
    #   #   $    #
 #### #   ## ##  #
##      # #  ## ###
#  ### $#$  $     #
#.      # ##  #   #
#.. #    @ # ### ##
#.. #  ###  $     #
######## ##   #   #
          #########
> 19 PS Simple_s2.dat 24



       ###########
       #   #     #
#####  #         #
#   #####  ## # ##
#   ##   # ## $  #
#        # ##$$$ #
## ###   # ##    #
## #   ### ##### #
## #        #    #
#  ### ##   #    ##
#       #   #     #
# @##   #  ##.    #
#####   ######...##
    #####    #####
> 20 PS Soko_Lev.dat 51




   #########
   #       #
   #  $   $#
   ####    #
      # $  ##
   ####   $ #
   #.. $ ## ####
   #..  $##    #
   #..    $    #
   #.###$### #@#
   #.# #     ###
   ### #######
> 21 PS Simp.dat 39


   ####
   #  #########
  ##  ##  #   #
  #   #  @    ####
  #      #    #  ##
 ##   ## #        #
 #  #  # #   $$$  #
 #      $   ## ####
 #     #$#  #  #
 ##  ###  ###$ #
  #  #         #
  ####      ####
    #... ####
    #...##
    #   #
    #####
> 22 PS Simple_s2.dat 10


             ######
 #############....#
##   ##     ##....#
#    ##    @## ...#
#          #      #
#    ##    # #    #
#    ##    #      #
## ##### ### ## ###
##        ##      #
#  ###  # ##### ###
#   $   #       #
#  $ #$ $ $###  #
# $$$# $   # ####
#    #  $$ #
######   ###
     #####
> 23 PS Simple_s2.dat 8


############ ######
#   #    # ### ...#
#   $$#   @    ...#
#   # ###   #     #
## ## ###  #      #
 # $ $     # # ####
 #  $ $##  #      #
#### #  #### # ## #
#  # #    ## #    #
#       # ## #   ##
# #        # #   #
#    ## ## # #####
#            #
## ## ###    #
 #    # #    #
 ###### ######
> 24 JD Btl.dat 31







       ######
       #.  .#
       # $$ #
       #$ # #
       #@ . #
       ######
> 25 JD Btl.dat 28






       ####
       #  #
      ##  ###
      #    .#
      # $$ @#
      # #  .#
      #######
> 26 JD Btl.dat 40







      ########
      #   # .#
      #   $$@#
      ####  .#
         #   #
         #####
> 27 JD Btl.dat 52






      ########
      #......#
      # $##$ #
      #  ##  #
      # $$@$$#
      #      #
      #   #  #
      ########
> 28 PS Simple_s2.dat 28


###########
#....     #########
#....     #  ##   #
#  ### $    $     #
#      $ #   ##   #
#   #$#####    #  #
###    #   #   #  #
  #  $    $   ##  #
  #  $   #$#  ##  #
  ### ## #    ##  #
   #      #  ######
   #          #
   ##   # #   #
    #####@#####
        ###
> 29 PS Simple_s2.dat 6


   ####
   #  #########
  ##  ##  #   #
  #   #  @    ####
  #      #    #  ##
 ##   ## #        #
 #  #  # #   $$$  #
 #      $   ## ####
 #     #$#  #  #
 ##  ###  ###$ #
  #  #         #
  ####      ####
    #... ####
    #...##
    #####
    #####
> 30 PS Simple_s1.dat 14





           ########
           #    ..#
############    ..#
#    #          ..#
#    # $$$$#    ..#
#  $$      #    ..#
#    # $$$$########
#    #     #
##@#########
#####
> 31 PS Simple_s2.dat 13



      ########
